昵称,学历,城市,经验,薪资,备注
yf*,本,成都,4.5年,16k,
Sve*,本,杭州,1.5年,13.5k,外包
妖*,专,上海,3年,13k,离职
陌生*,本,南京,7.5年,16k,
linco*,本,成都,8年,10k,
O*,专,武汉,2年,8k,
牧*,本,杭州,读研,,
R*,本,深圳,1年,15k,
Zea*,专,成都,3.5年,9k,自考本
海贼*,本,,27应届,,
Bet*,本,北京,4年,22k,全栈
brib*,专,广州,4年,12k,离职
白菜*,专,郑州,9年,10k,
岁月*,本,南京,5年,10k,
克林*,本,南京,6年,18k,外包
nea*,本,上海,10年,30k,外包
不叫*,本,长沙,27应届,,
没什*,专,杭州,10年,30k,离职
八*,本,成都,27应届,,
tia*,本,重庆,1年,8k,
xy*,本,北京,26应届,,
,本,深圳,1年,7.5k,
傅*,本,广州,6年,11k,
unde*,专,上海,7.5年,21k,
执念*,中专,上海,8年,16k,gap1年
大前*,本,北京,28应届,,
哈哈*,专,南京,8年,14k,被裁
一起*,专,北京,4年,19.5k,
叉*,本,成都,5年,14k,离职
null*,本,苏州,3年,20k,全栈，离职
Dom*,专,长沙,27应届,,
Odys*,本,深圳,2年,10k,
向阳*,专,成都,5年,9k,
Hsu*,专,北京,6年,18k,
yM9*,专,北京,26应届,,医生
骑*,本,北京,3年,10k,
一程*,本,杭州,0年,,大模型开发，考研2年
坦然*,本,河北,27应届,,
好*,985硕士,深圳,27应届,,
羽*,专科,杭州,9年,16k,
Stru*,本,北京,6年,23k,
肠包*,留美,,26应届,,
hul*,本,北京,4年,18k,
java*,本,成都,2年,9k,
合肥*,初,合肥,7年,9.5k,
阿*,本,南京,1.5年,20w/年,
No*,本,福州,5年,30w/年,
Alan*,本,杭州,26应届,40w/年,AI 全栈
ads*,本,上海,3年,12k,
萧*,专,南京,6年,15k,小米外包
抽象*,本,深圳,1年,15k,
Kyr*,高中,北京,7年,17k,外包
用户*,本,深圳,10年,15k,离职
八贰*,本,北京,2年,22k,
Deep*,本,,27应届,,
年*,专,长沙,26应届,,
北宇*,本,,27应届,,腾讯实习
洗洗*,大专,苏州,5年,15k,外包
76k*,专,鄂州,1年,12k,回老家，少儿编程（6k）
Lind*,本,杭州,7年,16k,
画画*,专,上海,5年,11k,
坐看*,专,长沙,5年,13k,
啧啧*,专,成都,2年,10k,
学点*,高中,广州,0年,,待业
阿炜*,本,南京,1.5年,20k,
今日*,专,江西,26应届,,
渣en*,专,宁波,1年,8k,
朵儿*,本,北京,9年,19k,外包
楠*,专,广州,2年,8k,
方*,专,成都,0.5年,3.3k,实习
知夏*,本,广州,27应届,,腾讯实习
荔枝*,专,广州,8年,22w/年,
幻梦*,本,深圳,3年,9k,
翻身*,专,深圳,6年,17k,
xiao*,专,北京,2.5年,14k,
刺*,本,杭州,4年,15k,
迪*,专,哈尔滨,27应届,,
lu*,本,深圳,1年,14k,
管先*,专,重庆,7年,17.5k,
SH*,本,深圳,5年,19k,
不打*,硕士,广州,27应届,,后端实习
一口,本,南京,5年,17k,
匿名*,专,北京,5年,19k,
干饭*,本,深圳,3.5年,17k,
流*,专,广州,2年,4.5k,
梦中*,本,宁波,3年,15k,
擒贼*,高,上海,7年,15k/20k,
刺*,本,杭州,4年,15k,
45度*,本,上海,5年,16k,
1008*,硕,北京,7年,42k,
香菇*,专,北京,3年,13k,
巧可*,专,,0,,日本留学 旅游管理 24岁
随心*,专,北京,2年,10k,
wate*,本,深圳,11年,18k,
叉*,专,成都,6年,14k,有空窗期
哈哈*,硕士,上海,4年,25k,
fan*,专,杭州,5年,12k,
一个*,本211,杭州,3年,18.8k,
看我*,本211,北京,26应届,25+k,大厂
A🐔*,专,北京,4年,15.5k,
就止*,本,上海,2年,15k,
企鹅*,本,,27应届,,
是风*,专,杭州,4年,12k,
小葵*,本,西安,6年,20k,大厂外包
种花*,本,南京,4年,12k,
软萌*,初中,北京,9.5年,26k,
躲猫*,本,北京,7年,20k,
Qiu*,专,上海,7年,27k,
颜*,专,北京,6年,19k,
V*,本,成都,6年,12k,
叛逆*,专,杭州,4年,5.5k,
煜坤*,本,成都,8年,18k,外包
Jay*,本,北京,8年,30k,
张*,本,杭州,1.5年,20k,
☁️*,初,成都,6年,11.5k,
杰*,本,长沙,9年,14k,
她不*,专,南京,3年,12k,军工外包
要一*,高,上海,2年,10k,
暮行*,本,长沙,28应届,,
Star*,本,上海,10年,35k,
智哥*,高,上海,9年,30k,Agents开发，仿真系统
云先*,本,重庆,26应届,5k,
xy*,本,天津,26应届,5k,
小白*,专,深圳,11年,26k,工业互联网
萌*,本,杭州,6年,16k,
Jum*,专,长沙,1年,6k,
草*,专,武汉,5年,12k,
传闻*,专,北京,6年,18k,
sany*,专,合肥,3年,13k,
Spr*,专,成都,6年,15k,
Nor*,985本,广州,26应届,18k,
,本,成都,8年,15k,
人*,本,广州,3年,7k,
逸*,硕,成都,2年,12k,
超*,本,杭州,5年,14k,gap半年
ward*,本,深圳,1年,13k,
喊左*,本,武汉,2年,8k,被裁
spe*,本,,28应届,,
我要*,硕,武汉,3年,16k,制造业
疯不*,本,武汉,1年,15k,
随心*,专,北京,2年,10k,被裁
陶淮*,专,重庆,1年,8k,
只是*,专,深圳,2年,11k,
闪游*,专,保定,10年,10k,gap4月
Alan*,本,杭州,0年,30k,AI全栈
哒哒*,专,广州,2年,6k,全栈
Edg*,本,天津,2年,8k,
关*,本,,27应届,,
土黑*,本,成都,4年,14k,
与冬*,专,广州,27应届,,
海人*,专,西安,4年,11k,离职8个月
AAA*,专,北京,2.5年,11k,
婷婷*,本,成都,26应届,6k,
肥嘟*,本,东莞,2年,12.5k,
淡淡*,本,长沙,3年,12k,
_静*,高中,大连,0,,
依然*,本,,27应届,,上海实习
玄*,专,,27应届,,
海人*,专,西安,3年,11k,
枸杞*,专,苏州,5年,14k,
Aar*,本,北京,3年,14k,
Xy*,本,杭州,1年,10k,
mOn*,本,广州,9年,20k,
山青*,专,26应届,,,
我爱*,硕士,南京,4年,20k,
给我*,专,北京,7年,16k,
毛驴*,本,深圳,9年,18k,运维->前端
Huu*,专,深圳,3年,10k,gap 2年
one*,本,杭州,27应届,,
天宇*,高中,成都,5年,15k,前端
🌈*,专,厦门,1年,3.5k,前端
往事*,本科,北京,3年,15k,前端
爱吃*,本,天津,26应届,6.5k,前端
张个*,本,西安,5年,12k,前端
西柚*,本,杭州,4年,9k,前端
管先*,大专,重庆,7.5年,17.5k,前端，离职
salu*,985硕士,深圳,26应届,24k,"webgl,3d打印"
ward*,本,深圳,1年,13k*15,前端
快*,本,北京,10年,49w/年,Agents开发，半导体
lh*,初中,上海,8年,18k,前端
微斯*,本,北京,3.5年,17k,
海盐*,专,北京,6.5年,25k->22k->18k,前端
wah*,专,上海,7年,20k,前端
渔*,本,武汉,2年,6k,前端
